run_id,attack.attack_steps,attack.lr_g,attack.lr_d,seed,global_test_accuracy,mean_distance_to_target_private,covariance_distance_to_target_private,nearest_neighbor_distance,target_confidence_on_generated,final_discriminator_loss,final_generator_loss
0,0,0.02,0.015,21,0.995,2.543084961988013,1.116127223157984,0.3832321347498513,0.5083550080352697,0.0,0.0
1,0,0.02,0.02,22,0.9975,2.5064533401804185,1.2680185099259238,0.5927892007482075,0.518945688940328,0.0,0.0
2,0,0.03,0.015,23,1.0,2.450107678350984,1.169250984773932,0.5983714353151076,0.543108133864273,0.0,0.0
3,0,0.03,0.02,24,0.995,2.6035353970531734,1.1370320882990426,0.4045922112430108,0.485255190391162,0.0,0.0
4,150,0.02,0.015,25,0.99125,1.5467640402459015,1.3311776164935345,0.14167026276536146,0.8969532885579263,1.0884722369637339,0.767900729049677
5,150,0.02,0.02,26,0.99375,1.63392560688112,1.1407563775298795,0.1911595306272204,0.8979097237472436,1.0531387368103418,0.7922676866324134
6,150,0.03,0.015,27,0.99625,1.6449462663581316,1.2421817927774093,0.11465266522156803,0.9065639441486578,1.073839377847396,0.7609426425238615
7,150,0.03,0.02,28,0.99875,1.6841295086533985,1.1931788526755753,0.10360038075744236,0.90539748888528,0.9936947355106118,0.7810368762189781
8,350,0.02,0.015,29,0.995,1.530023357756395,1.2414795761916535,0.08657754826831826,0.9111532953728863,0.9385227619719606,0.8539737449923174
9,350,0.02,0.02,30,0.99375,1.5365760494018461,1.2109503401743549,0.11755977273643708,0.9065098245696536,0.8921649279395139,0.9125403911749113
10,350,0.03,0.015,31,0.99875,1.5931829853172914,1.2982313942010977,0.1691478131631851,0.9240767606089776,0.9443465442582957,0.8244655496800065
11,350,0.03,0.02,32,0.99875,1.4876687149447592,1.296240723407441,0.07700253777229346,0.9173398134604364,0.883703841339914,0.9071074778001234
